ФИО,№ стипендии,Тема,Организация
Кузнецова Виолетта Олеговна,СП-1341.2022.3,"Деформирование и предельное состояние сферических и цилиндрических оболочек, подверженных воздействию агрессивной среды","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тульский государственный университет"""
Курашкин Сергей Олегович,СП-1915.2022.3,Разработка комплексной системы автоматизации электронной-лучевой сварки тонкостенных конструкций аэрокосмического назначения,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева"""
Милахин Денис Сергеевич,СП-1646.2022.3,Разработка нитрид-галлиевых наногетероэпитаксиальных структур с повышенной локализацией электронов в двумерном электронном газе,Федеральное государственное бюджетное учреждение науки Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук
Миньков Кирилл Николаевич,СП-5291.2022.3,Разработка методов создания высокодобротных оптических микрорезонаторов с заданными характеристика для актуальных задач фотоники,Общество с ограниченной ответственностью «Международный центр квантовой оптики и квантовых технологий»
Наумов Андрей Сергеевич,СП-4084.2022.3,Лазерное модифицирование структуры прозрачных термостабильных литиевоалюмосиликатных ситаллов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский химико-технологический университет имени Д.И. Менделеева"""
Никитин Алексей Александрович,СП-82.2022.3,Исследование новых принципов управления динамикой спиновых волн в пространственно-периодических пленочных структурах феррит-диоксид ванадия для создания СВЧ-устройств,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»
Одинцов Сергей Александрович,СП-562.2022.3,Передача информационных сигналов в латеральных структурах на основе нанорамерных пленок феррит-гранатов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского"""
Одинцова Татьяна Анатольевна,СП-3328.2022.3,Форма крыльев спектральных линий и континуальное поглощение атмосферных молекул в ТГц диапазоне частот: от эксперимента к модели,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр Институт прикладной физики Российской академии наук"""
Рогожников Евгений Васильевич,СП-2977.2022.3,Разработка и исследование алгоритмов формирования и обработки сигналов для полнодуплексной системы передачи данных по цепям питания без временного и частотного разделения,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники"""
Севостьянов Никита Алексеевич,СП-1192.2022.3,Синтез алгоритмов управления энергопреобразующей аппаратурой в составе модульных систем электропитания космических аппаратов,Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный технический университет»
Столяров Дмитрий Александрович,СП-3312.2022.3,Разработка волоконных высокочастотных генераторов  ультракоротких лазерных импульсов с низким уровнем фазового шума,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ульяновский государственный университет"""
Фролова Марианна Геннадьевна,СП-472.2022.3,Разработка армированного керамического композита на основе карбида кремния для изготовления деталей космических и летательных аппаратов,Федеральное государственное бюджетное учреждение науки Институт металлургии и материаловедения им. А.А. Байкова Российской академии наук
Черкашина Наталья Игоревна,СП-1959.2022.3,Разработка методологических принципов создания высокоэффективных полимерных композитов для защиты космонавтов и радиоэлектронного оборудования от космического излучения,Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»
Чернуцкий Антон Олегович,СП-5021.2022.3,Разработка методов и аппаратуры для повышения пространственного разрешения и уменьшения погрешности измерения температуры распределенными волоконно-оптическими датчиками,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)"""
Шестаков Сергей Алексеевич,СП-3844.2022.3,Разработка и исследование бестопливных методов управления группировкой малых спутников на околоземных орбитах,"Федеральное государственное учреждение ""Федеральный исследовательский центр Институт прикладной математики им. М.В. Келдыша Российской академии наук"""
Шугуров Константин Юрьевич,СП-4018.2022.3,Разработка и исследование СВЧ диода Шоттки на основе одиночных нитевидных нанокристаллов GaN,"Федеральное государственное бюджетное учреждение высшего образования и науки ""Санкт-Петербургский национальный исследовательский Академический университет имени Ж.И. Алферова Российской академии наук"""
,,,
Агейкин Алексей Викторович,СП-1957.2022.4,Превентивно-терапевтическая коррекция формирования и прогрессирования пограничных психических расстройств на основе регуляции нейропластичности по данным ЭЭГ- и МРТ-маркеров.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет"""
Алешин Василий Алексеевич,СП-1081.2022.4,Механизмы регуляции ключевых узлов метаболизма мозга тиамином и его производными,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Алешин Дмитрий Юрьевич,СП-3215.2022.4,Оптимизация магнитной анизотропии PARACEST агентов для магнитно-резонансной томографии.,Федеральное государственное бюджетное учреждение науки Институт элементоорганических соединений им. А.Н. Несмеянова Российской академии наук
Алферова Вера Александровна,СП-4094.2022.4,Химическое изучение антимикробных вторичных метаболитов актинобактерий,Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук
Андреев Егор Андреевич,СП-932.2022.4,(Био)сенсоры на основе неорганических и полимерных материалов для применения в неинвазивной медицинской диагностике,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Архипова Анастасия Юрьевна,СП-2125.2022.4,Скаффолды на основе фиброина шелка для регенерации костной ткани,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Ахмадиев Наиль Салаватович,СП-1691.2022.4,Драг-дизайн низкомолекулярных биядерных Cu-содержащих сульфанил азагетероциклов в поиске эффективных противоопухолевых агентов,Федеральное государственное бюджетное научное учреждение Уфимский федеральный исследовательский центр Российской академии наук
Ахунзянов Алмаз Анасович,СП-3720.2022.4,Разработка диагностической панели для неинвазивной оценки чувствительности к химиопрепаратам у пациентов с раком молочной железы,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Бабков Денис Александрович,СП-2791.2022.4,Разработка соединений для коррекции иммунометаболических нарушений при сахарном диабете,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный медицинский университет"" Министерства здравоохранения Российской Федерации"
Балашова Алена Николаевна,СП-2333.2022.4,Изучение баланса возбуждения-торможения в гиппокампе после разрушения гиалуронового внеклеточного матрикса мозга мышей и его роль в эпилептогенезе,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Приволжский исследовательский медицинский университет"" Министерства здравоохранения Российской Федерации"
Басалова Наталия Андреевна,СП-4350.2022.4,Роль мезенхимных стромальных клеток в регуляции развития и прогрессирования фиброза лёгких,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Бахчина Анастасия Владимировна,СП-333.2022.4,Исследование динамики нейровисцеральных взаимодействий при формировании и реализации индивидуального опыта в оптимальных и экстремальных условиях,Федеральное государственное бюджетное учреждение науки Институт психологии Российской академии наук
Башарина Анна Александровна,СП-1292.2022.4,Опухоль ассоциированный белок бета-3 тубулин (TUBB3) как предиктивный и прогностический молекулярный маркёр немелкоклеточного рака лёгкого,"Федеральное государственное бюджетное учреждение ""Национальный медицинский исследовательский центр онкологии имени Н.Н. Блохина"" Министерства здравоохранения Российской Федерации"
Белашов Андрей Владимирович,СП-5090.2022.4,Разработка метода низкокогерентной голографической томографии с использованием пространственно-временного фазового модулятора света,Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Блинова Анастасия Александровна,СП-476.2022.4,Разработка элементосбалансированной наноструктурированной системы для высокоэффективной регенерации поврежденных костных ткане,"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Кавказский федеральный университет"""
Блохин Алексей Николаевич,СП-4113.2022.4,Новые микто-звездообразные термочувствительные полимеры с каликсареновым центром ветвления для солюбилизации гидрофобных лекарственных веществ,Федеральное государственное бюджетное учреждение науки Институт высокомолекулярных соединений Российской академии наук
Борисов Денис Дмитриевич,СП-243.2022.4,C-H функционализация алифатических CH2-групп в реакциях донорно-акцепторных циклопропанов для синтеза новых классов ингибиторов андрогеновых рецепторов,Федеральное государственное бюджетное учреждение науки Институт органической химии им. Н.Д. Зелинского Российской академии наук
Варежников Алексей Сергеевич,СП-1707.2022.4,Разработка прототипа устройства на основе мультисенсорной системы электронного обоняния для неинвазивной диагностики заболеваний,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский государственный технический университет имени Гагарина Ю.А."""
Василевский Павел Николаевич,СП-4003.2022.4,Исследование нелинейно-оптических эффектов в нанодисперсных средах на основе углеродных нанотрубок и оксида графена при возбуждении лазерным излучением,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»
Васильев Никита Алексеевич,СП-4053.2022.4,Разработка и исследование соаморфных систем лекарственног,Федеральное государственное бюджетное учреждение науки Институт химии растворов им. Г.А. Крестова Российской академии наук
Волчков Сергей Сергеевич,СП-1098.2022.4,Флуоресцентные наномаркеры в биосовместимых полимерных матрицах для регенеративной медицины и клеточной инженерии,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский государственный технический университет имени Гагарина Ю.А."""
Гадельшин Вадим Маратович,СП-4186.2022.4,Разработка технологии производства медицинских радиоизотопов скандия с использованием лазерной резонансной ионизации,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Газизуллина Елена Ринатовна,СП-2007.2022.4,Тест система для экспресс-оценки общего антиоксидантоного статуса,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Гамин Юрий Владимирович,СП-907.2022.4,"Разработка и исследование сплава системы Co-Cr-Mo для медицинских имплантатов, полученного способом управляемой термопластической деформации",Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
Гарипов Марсель Радыикович,СП-2883.2022.4,Разработка нового поколения высокоэффективных и малотоксичных противогрибковых средств на основе производных витамина В6 для терапии лекарственно-устойчивых форм микозов.,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Герасимов Олег Владимирович,СП-4182.2022.4,Разработка численно-цифровых методов клинической диагностики костных органов по данным компьютерной томографии на основе прочности с учётом биомеханических нагрузок,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Гладков Арсений Андреевич,СП-1481.2022.4,Исследование обработки информации в модульной сети клеток гиппокампа in vitro,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Приволжский исследовательский медицинский университет"" Министерства здравоохранения Российской Федерации"
Демченко Анна Григорьевна,СП-3761.2022.4,Получение и характеристика дыхательных органоидов из индуцированных плюрипотентных стволовых клеток больных муковисцидозом с корректированной мутацией F508del в гене CFTR,"Федеральное государственное бюджетное научное учреждение ""Медико-генетический научный центр имени академика Н.П. Бочкова"""
Дмитриева Екатерина Владимировна,СП-2223.2022.4,Разработка новых методов определения допинг-агентов и стероидных гормонов в моче,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»
Доронин Максим Сергеевич,СП-1557.2022.4,Роль астроцитов в регуляции кровообращения в головном мозге,Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук
Дубинский Сергей Михайлович,СП-2102.2022.4,Поиск критического размера зерна подавляющего обратимое мартенситное превращение в наноструктурных сверхупругих биосовместимых сплавах системы Ti-Zr-Nb для медицинских имплантатов.,Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
Екомасова Наталья Вадимовна,СП-3402.2022.4,Анализ распространения мутаций генов-кандидатов наследственного рака молочной железы и яичников в популяциях Северной Евразии,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»
Ермаков Алексей Вадимович,СП-886.2022.4,Разработка фотодинамических агентов на основе полимерных субмикронных носителей с возможностью визуализации биораспределения in vivo,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского"""
Ермоленко Ольга Александровна,СП-971.2022.4,Математическое и компьютерное моделирование волновых процессов в костных и мягких тканях с целью выявления диагностических признаков развития остеопороза,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»
Ефремова Елена Владимировна,СП-3798.2022.4,Разработка прогностической модели при кардиоренальном фенотипе сердечной недостаточности,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ульяновский государственный университет"""
Жарких Елена Валерьевна,СП-120.2022.4,"Разработка метода и устройства оптической неинвазивной диагностики нарушений микроциркуляции крови у пациентов, перенесших COVID-19","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Орловский государственный университет имени И.С. Тургенева"""
Жбанова Вера Леонидовна,СП-748.2022.4,Разработка и исследование метода регистрации и обработки цветных изображений в цифровой микроскопии,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский университет ""МЭИ"""
Жихорева Анна Александровна,СП-1955.2022.4,Разработка и сравнительный анализ методов количественной фазовой визуализации для автоматического определения типа клеточной гибели с использованием алгоритмов машинного обучения,Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Жульков Максим Олегович,СП-342.2022.4,Экспериментально-клиническое обоснование разработки технологии гипотромбогенной модификации поверхностей имплантируемых устройств для лечения сердечно-сосудистых заболеваний с использованием вакуумных ионно-плазменных методов. ,Федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр имени академика Е.Н. Мешалкина» Министерства здравоохранения Российской Федерации
Забродская Яна Александровна,СП-4631.2022.4,"Клеточные белки, взаимодействующие с NS1 вируса гриппа по пути индукции конформационного перехода","Федеральное государственное бюджетное учреждение ""Научно-исследовательский институт гриппа имени А.А. Смородинцева"" Министерства здравоохранения Российской Федерации"
Зубенко Анастасия Дмитриевна,СП-4384.2022.4,"Новые азакраун-соединения и их комплексы с медицинскими радионуклидами: синтез, исследование и применение в диагностике и лечении онкологических заболеваний",Федеральное государственное бюджетное учреждение науки Институт элементоорганических соединений им. А.Н. Несмеянова Российской академии наук
Ильчибаева Татьяна Витальевна,СП-1401.2022.4,Гетеродимерные комплексы серотониновых и тирозинкиназных рецепторов как мишень для лечения психопатологий,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук"""
Камаева Дарья Андреевна,СП-5013.2022.4,Изучение спектра протеолитических абзимов при биполярном аффективном расстройстве,"Федеральное государственное бюджетное научное учреждение ""Томский национальный исследовательский медицинский центр Российской академии наук"""
Капитанова Олеся Олеговна,СП-4902.2022.4,Гибридные плазмонные биосенсоры для селективной и сверхчувствительной детекции маркеров нейродегенеративных заболеваний,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Каплан Михаил Александрович,СП-4955.2022.4,Разработка технологии получения коррозионностойкой стали с антибактериальными свойствами,Федеральное государственное бюджетное учреждение науки Институт металлургии и материаловедения им. А.А. Байкова Российской академии наук
Карелин Роман Дмитриевич,СП-419.2022.4,Исследование влияния квазинепрерывного равноканального углового прессования на структуру и функциональные свойства заэквиатомных сплавов Ti-Ni с памятью формы медицинского назначения.,Федеральное государственное бюджетное учреждение науки Институт металлургии и материаловедения им. А.А. Байкова Российской академии наук
Каретников Георгий Леонидович,СП-1344.2022.4,Синтез и исследование функционализации изоксазольного цикла: разработка подходов к новым тубулин-ингибирующим противоопухолевым препаратам ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Каширина Дарья Николаевна,СП-1979.2022.4,"Поиск потенциальных  специфических маркеров ответных реакций, в том числе сердечно-сосудистой системы, здорового человека  при действии реальных и моделируемых факторов космического полета по данным масс-спектрометрического анализа ""сухих"" пятен крови",Федеральное государственное бюджетное учреждение науки Государственный научный центр Российской Федерации - Институт медико-биологических проблем Российской академии наук
Кисель Кристина Станиславовна,СП-2466.2022.4,Разработка люминесцентных меток на основе комплексов рения(I) для ранней диагностики онкологических заболеваний,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Ковалева Ксения Сергеевна,СП-2194.2022.4,Синтез пятичленных азагетероциклических производных триметилбицикло[2.2.1]гептан-2-она  в качестве новых ингибиторов опасных вирусных инфекций.,Федеральное государственное бюджетное учреждение науки Новосибирский институт органической химии им. Н.Н. Ворожцова Сибирского отделения Российской академии наук
Козиненко Виталий Павлович,СП-3452.2022.4,Индуцируемая параводородом поляризация ядер биологически важных молекул,Федеральное государственное автономное образовательное учреждение высшего образования «Новосибирский национальный исследовательский государственный университет»
Кокоулин Максим Сергеевич,СП-4729.2022.4,Cульфатированные гликаны морских бактерий рода Cobetia как основа для изучения адаптационного и биотехнологического потенциала галотолерантных микроорганизмов. Исследование структур и антипролиферативного действия уникальных полисахаридов морского генеза,Федеральное государственное бюджетное учреждение науки Тихоокеанский институт биоорганической химии им. Г.Б. Елякова Дальневосточного отделения Российской академии наук
Колесова Екатерина Петровна,СП-2307.2022.4,Разработка мультифункциональных сенсибилизаторов для фото- и сонодинамической терапии онкологических заболеваний,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Кольцов Иван Алексеевич,СП-2404.2022.4,Применение метода динамической тромбофотометрии для изучения роли иммунотромбоза в формировании ранних постинсультных когнитивных нарушений,"Федеральное государственное бюджетное учреждение ""Федеральный центр мозга и нейротехнологий"" Федерального медико-биологического агентства"
Кольцова Алла Сергеевна,СП-3297.2022.4,Влияние эстрогена и прогестерона на цитогенетическую стабильность и эпигенетических статус клеток лейомиомы матки,"Федеральное государственное бюджетное научное учреждение «Научно-исследовательский институт акушерства, гинекологии и репродуктологии имени Д.О. Отта»"
Комарова Екатерина Сергеевна,СП-3119.2022.4,"Изучение регуляции биосинтеза белка, поиск его ингибиторов и определение специфичности их действия",Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Комкова Мария Андреевна,СП-2942.2022.4,Носимое биосенсорное устройство на основе миметиков аффинного и каталитического типов для телемедицинской диагностики,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Коннова Светлана Анатольевна,СП-278.2022.4,Лекарственные препараты на основе наночастиц глины и биополимеров с противовоспалительной и антибактериальной активностью,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Короткова Анастасия Михайловна,СП-4708.2022.4,"Особенности проявления биологических свойств нано- и микропорошков оксидов металлов, полученных методом ""зеленого"" синтеза на примере стимуляции синтеза вторичных метаболитов полифенольной природы в каллусных культурах","Федеральное государственное бюджетное научное учреждение ""Федеральный научный центр биологических систем и агротехнологий Российской академии наук"""
Кочкуров Леонид Алексеевич,СП-4851.2022.4,Фундаментальные особенности возбуждения стохастической лазерной генерации в сильно рассеивающих наноструктурированных системах с добавлением флуорофоров для задач морфологической и функциональной диагностики,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский государственный технический университет имени Гагарина Ю.А."""
