ФИО,№ гранта,Тема,Организация
Яковлев Руслан Юрьевич,МК-4306.2018.3,"Получение, физико-химические и биологические свойства комплексов наноалмаза с лекарственными веществами и радионуклидами медицинского назначения",Федеральное государственное бюджетное учреждение науки Ордена Ленина и Ордена Октябрьской революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук
Агарков Александр Викторович,МК-1770.2018.4,Разработка программно-аппаратного комплекса для мониторинга и прогнозирования внутриутробного инфицирования с предотвращением ранних репродуктивных потерь у продуктивных животных,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ставропольский государственный аграрный университет"""
Арапиди Георгий Павлович,МК-6894.2018.4,"Исследование пептидов микробиоты кишечника, циркулирующих в крови",Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук
Байков Иван Константинович,МК-6575.2018.4,"""Исследование спектра действия протективного химерного антитела против вируса клещевого энцефалита""",Федеральное государственное бюджетное учреждение науки Институт химической биологии и фундаментальной медицины Сибирского отделения Российской академии наук
Бедулина Дарья Сергеевна,МК-6804.2018.4,Экспозом байкальских амфипод и его применение при мониторинге бентосных сообществ озера Байкал ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский государственный университет»
Бигильдеев Алексей Евгеньевич,МК-6016.2018.4,Воздействие ионизирующего излучения на промотор гена интерлейкин-1 бета.,Федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр гематологии» Министерства здравоохранения Российской Федерации
Бобылёва Полина Ивановна,МК-2976.2018.4,Роль редокс-статуса мультипотентных мезенхимных стромальных клеток в реализации их иммуномодуляторных свойств ,Федеральное государственное бюджетное учреждение науки Государственный научный центр Российской Федерации - Институт медико-биологических проблем Российской академии наук
Булатов Эмиль Рафаэлевич,МК-4253.2018.4,Исследование механизмов восстановления транскрипционных функций мутантного онкосупрессора р53 (Y220C) с помощью высокоселективных низкомолекулярных реактиваторов,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Васильев Станислав Анатольевич,МК-5944.2018.4,Эпигенетическая регуляция ответа клеток на повреждение ДНК,"Федеральное государственное бюджетное научное учреждение ""Томский национальный исследовательский медицинский центр Российской академии наук"""
Вихрев Илья Витальевич,МК-4723.2018.4,Моделирование сценариев инвазии моллюсков рода Sinanodonta (Bivalvia: Unionoida: Unionidae) в водоемы Российской Федерации.,Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр комплексного изучения Арктики имени академика Н.П. Лаверова Российской академии наук
Гаджиев Алимурад Ахмедович,МК-6831.2018.4,"Особенности циркулирования РНК-содержащих вирусов семейств Rhabdo-, Paramyxo-, Orthomyxoviridae в малоизученных резервуарах Северо-Западного Прикаспия","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Дагестанский государственный университет"""
Горина Светлана Сергеевна,МК-5989.2018.4,Липоксигеназный каскад: ключевые ферменты биосинтеза и их роль в адаптации растений при стрессе,"Федеральное государственное бюджетное учреждение науки ""Федеральный исследовательский центр ""Казанский научный центр Российской академии наук"""
Дмитриев Алексей Александрович,МК-5828.2018.4,Генетический полиморфизм возбудителей грибных болезней льна (Linum usitatissimum L.),Федеральное государственное бюджетное учреждение науки Институт молекулярной биологии им. В.А. Энгельгардта Российской академии наук
Евстратова Екатерина Сергеевна,МК-872.2018.4,"Генетическая нестабильность и старение клеток, как причина онкологических заболеваний, вследствие применения различных физических и химических факторов",Федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр радиологии» Министерства здравоохранения Российской Федерации
Звягин Иван Владимирович,МК-6000.2018.4,Исследование клонального репертуара субпопуляций В-лимфоцитов человека при сезонной аллергии на пыльцу растений,Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук
Ильичева Екатерина Юрьевна,МК-2718.2018.4,Влияние статуса меди на эффективность противоопухолевого препарата цисплатина,"Федеральное государственное бюджетное научное учреждение ""Институт экспериментальной медицины"""
Костевич Валерия Александровна,МК-5874.2018.4,Изучение роли медь-связывающих белков в регуляции метаболизма железа,"Федеральное государственное бюджетное научное учреждение ""Институт экспериментальной медицины"""
Мазина Марина Юсуповна,МК-5803.2018.4,Роль комплекса ремоделирования хроматина SWI/SNF в функционировании компактизованного хроматина,Федеральное государственное бюджетное учреждение науки Институт биологии гена Российской академии наук
Максимов Евгений Георгиевич,МК-951.2018.4,Разработка молекулярного оптического сенсора температуры на основе фотоактивного оранжевого каротиноидного белка,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Мишин Алексей Викторович,МК-5184.2018.4,Биофизические исследования функциональной активности GPCR рецепторов,"Федеральное государственное автономное образовательное учреждение высшего образования ""Московский физико-технический институт (национальный исследовательский университет)"""
Мусинова Яна Рафаеловна,МК-716.2018.4,Метилирование GAR-домена фибрилларина: регуляция локализации и функциональной активности,Федеральное государственное бюджетное учреждение науки Институт биологии развития им. Н.К. Кольцова РАН
Нехаев Иван Олегович,МК-4797.2018.4,"Брюхоногие моллюски Баренцева моря: таксономическое разнообразие, локальные видовые комплексы, пути формирования фауны","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Новиков Андрей Александрович,МК-3801.2018.4,Разработка методов идентификации и классификации микроорганизмов путем статистической обработки данных о составе их липидов,Федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина»
Пимашкин Алексей Сергеевич,МК-6795.2018.4,Кодирование и обработка информации в нейронных сетях in vitro с управляемой функциональной и морфологической архитектурой с помощью методов микрофлюидики,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Попов Петр Анатольевич,МК-5279.2018.4,Биоинформатический поиск и дизайн микробных родопсинов с новыми свойствами,"Федеральное государственное автономное образовательное учреждение высшего образования ""Московский физико-технический институт (национальный исследовательский университет)"""
Празднова Евгения Валерьевна,МК-5950.2018.4,"Выделение метаболитов пробиотических бактерий, проявляющих антимутагенную, SOS-ингибирующую и антиоксидантную активность",Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Рожина Эльвира Вячеславовна,МК-4498.2018.4,Остеогенез и хондрогенез стволовых клеток человека на подложке с наноразмерной топографией.,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Самойлова Зоя Юрьевна,МК-3376.2018.4,Исследование действия биологически активных веществ растительного происхождения на молекулярно-генетические механизмы регуляции биопленкообразования у кишечных бактерий,Федеральное государственное бюджетное учреждение науки Пермский федеральный исследовательский центр Уральского отделения Российской академии наук
Сафенкова Ирина Викторовна,МК-6712.2018.4,Изучение особенностей распознавания олигонуклеотидов на мембранных носителях для проточного высокочувствительного экспрессного анализа вирусных патогенов,"Федеральное государственное учреждение ""Федеральный исследовательский центр ""Фундаментальные основы биотехнологии"" Российской академии наук"""
Симонов Александр Юрьевич,МК-6341.2018.4,Колебательно-волновые основы сигнальных и информационных функций мозга в математических моделях спайковых и попуяционных сетей биологических нейронов,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Станишнева-Коновалова Татьяна Борисовна,МК-2614.2018.4,Исследование четвертичной структуры и механизма взаимодействия с мембранами белка-регулятора цитоскелета,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Степанов Григорий Александрович,МК-6196.2018.4,Модифицированные sgРНК для эффективного редактирования геномов в клетках человека,Федеральное государственное бюджетное учреждение науки Институт химической биологии и фундаментальной медицины Сибирского отделения Российской академии наук
Туровский Егор Александрович,МК-626.2018.4,Молекулярные механизмы гипоксического прекондиционирования клеток мозга. Разработка новой стратегии селективного усиления эндогенных защитных систем нейрональных сетей и подавления гипервозбудимости.,"Федеральное государственное бюджетное учреждение науки ""Федеральный исследовательский центр «Пущинский научный центр биологических исследований Российской академии наук»"
Шипунова Виктория Олеговна,МК-5790.2018.4,Создание агентов для тераностики на основе нано- и микроструктур.,Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук
Баклагин Вячеслав Николаевич,МК-3379.2018.5,Система прогнозирования ледовитости озер на основе данных дистанционного зондирования Земли,Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр «Карельский научный центр Российской академии наук»
Белов Алексей Анатольевич,МК-2032.2018.5,"Повышение эффективности алгоритмов сбора, обработки и прогнозирования данных в ходе мониторинга загрязнения окружающей среды промышленными производствами.",Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»
Бобрик Анна Александровна,МК-1181.2018.5,Закономерности распределения компонентов углеродного цикла в почвах типичных экосистем Западной Сибири вдоль биоклиматической и геокриологической трансекты от южной тайги до южной тундры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Бурачевская Марина Викторовна,МК-4015.2018.5,"Состав соединений Cu и Zn в загрязненных почвах и его изменение при внесении сорбентов: химическая экстракция, рентгеноспектральный и рентгеноструктурный анализ",Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Гиниятуллин Айрат Рафаэлевич,МК-1124.2018.5,Сильнонелинейная динамика течений индуцированных интенсивными внутренними волнами с учетом вращения Земли в приложении к морям Дальневосточного региона,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Гладков Антон Андреевич,МК-542.2018.5,Создание онлайн-системы обработки геопространственных данных для прогнозирования опасных геологических процессов при землетрясениях.,Федеральное государственное бюджетное учреждение науки Институт земной коры Сибирского отделения Российской академии наук
Гуржий Владислав Владимирович,МК-4810.2018.5,Эволюция состава и структурных комплексов сульфатов и селенатов урана,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Дадыкин Валерий Сергеевич,МК-1522.2018.5,Разработка информационно-аналитической системы поддержки устойчивого развития предприятий минерально-сырьевого комплекса на основе геолого-экономического мониторинга,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»
Дейнеко Дина Валерьевна,МК-3502.2018.5,Рентгеноструктурные и спектроскопические исследования минералов и их синтетических аналогов: взаимосвязь особенностей катионного упорядочения с физическими свойствами,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Домников Петр Александрович,МК-6811.2018.5,Разработка методов конечноэлементного моделирования многомерных геоэлектромагнитных полей и сопутствующего программного обеспечения при решении задач геоэлектроразведки с естественными и контролируемыми источниками,Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный технический университет»
Зайцев Артем Вячеславович,МК-6244.2018.5,"Моделирование сопряженного тепло- и массопереноса в нефтенасыщенном песчанике, окружающем породном массиве и шахтной атмосфере при подземной добыче высоковязкой нефти методами паротеплового воздействия на пласт",Федеральное государственное бюджетное учреждение науки Пермский федеральный исследовательский центр Уральского отделения Российской академии наук
Захарова Наталья Борисовна,МК-3228.2018.5,Анализ гидрофизических данных с применением технологий обработки больших данных,Федеральное государственное бюджетное учреждение науки Институт вычислительной математики им. Г.И. Марчука Российской академии наук
Конурин Антон Игоревич,МК-6827.2018.5,Развитие рейтинговой классификации систем разработки рудных месторождений на базе геомеханической параметризации модельных представлений геосреды по виду напряженного состояния массива горных пород и глубине залегания.,Федеральное государственное бюджетное учреждение науки Институт горного дела им. Н.А. Чинакала Сибирского отделения Российской академии наук
Крылов Артём Александрович,МК-5963.2018.5,Разработка автоматизированной системы обработки данных морского сейсмологического мониторинга для ответственных объектов в шельфовых и прибрежных зонах,Федеральное государственное бюджетное учреждение науки Институт океанологии им. П.П. Ширшова Российской академии наук
Кублицкий Юрий Анатольевич,МК-5595.2018.5,Динамика природных условий в юго-восточном и восточном секторах Балтийского региона в позднем плейстоцене и голоцене.,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный педагогический университет им. А. И. Герцена"""
Лойко Сергей Васильевич,МК-2103.2018.5,Хасыреи как оазисы высокопродуктивных экосистем в условиях Арктической зоны Российской Федерации,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Михайленко Анна Владимировна,МК-6548.2018.5,Ртуть в бассейне нижнего течения реки Дон,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Неведров Николай Петрович,МК-4086.2018.5,Разработка моделей оптимизации  экологических сервисов и функций поврежденных почв городских экосистем,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Курский государственный университет"""
Осадчиев Александр Александрович,МК-6168.2018.5,Структура и изменчивость приповерхностного опресненного слоя морей российской Арктики,Федеральное государственное бюджетное учреждение науки Институт океанологии им. П.П. Ширшова Российской академии наук
Остапчук Алексей Андреевич,МК-758.2018.5,Определение структурных и механических характеристик нарушений сплошности массивов горных пород по результатам анализа параметров сейсмоакустических колебаний,Федеральное государственное бюджетное учреждение науки Институт динамики геосфер имени академика М.А. Садовского Российской академии наук
Паршин Александр Вадимович,МК-3608.2018.5,Комплекс беспилотных низковысотных аэрогеофизических методов - основа новой методологии геологопоисковых работ в сложных природно-ландшафтных условиях,Федеральное государственное бюджетное учреждение науки Институт геохимии им. А.П. Виноградова Сибирского отделения Российской академии наук
Полевщикова Юлия Александровна,МК-675.2018.5,Разработка методов моделирования устойчивости лесных насаждений в условиях меняющихся климатических факторов на основе дешифрирования данных дистанционного зондирования.,Федеральное государственное бюджетное образовательное учреждение высшего образования «Поволжский государственный технологический университет»
Ромашев Артём Олегович,МК-5915.2018.5,Управление структурообразованием и реологическими свойствами суспензий в процессах переработки минерального и углеводородного сырья,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет"""
Светлицкая Татьяна Владимировна,МК-5159.2018.5,"Контактовый метаморфизм медно-никелевых сульфидных руд: ремобилизация, транспортировка и локализация рудного вещества",Федеральное государственное бюджетное учреждение науки Институт геологии и минералогии им. В.С. Соболева Сибирского отделения Российской академии наук
Сердюков Александр Сергеевич,МК-6451.2018.5,Дистанционный контроль охвата продуктивного пласта процессом разработки по результатам наблюдений микросейсмических колебаний на дневной поверхности для повышения эффективности добычи нефти,Федеральное государственное бюджетное учреждение науки Институт нефтегазовой геологии и геофизики им. А.А. Трофимука Сибирского отделения Российской академии наук
Ситнов Сергей Андреевич,МК-6336.2018.5,Повышение энергоэффективности тепловых методов добычи высоковязких нефтей с использованием закачиваемых в пласт наноразмерных каталитических систем,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Скороходов Алексей Викторович,МК-1745.2018.5,Исследование облачных проявлений атмосферных волн над водной поверхностью и построение их математических моделей,Федеральное государственное бюджетное учреждение науки Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук
Скузоватов Сергей Юрьевич,МК-549.2018.5,Геохимия субдукционного метаморфизма высокобарических комплексов Центрально-Азиатского складчатого пояса (на примере юго-западной Монголии),Федеральное государственное бюджетное учреждение науки Институт геохимии им. А.П. Виноградова Сибирского отделения Российской академии наук
Соколова Татьяна Сергеевна,МК-3520.2018.5,Термодинамическая база данных мантийных силикатов в приложении к расчету фазовых равновесий,Федеральное государственное бюджетное учреждение науки Институт земной коры Сибирского отделения Российской академии наук
Сорокина Елена Серафимовна,МК-4459.2018.5,Роль геохимических факторов и флюидного режима в образовании корундовой минерализации метасоматических пород щелочных массивов Кольского полуострова и Южного Урала России,Федеральное государственное бюджетное учреждение науки Ордена Ленина и Ордена Октябрьской революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук
Товстик Евгения Владимировна,МК-2880.2018.5,"Эколого-биологическое исследование состояния почв, подверженных инвазии борщевиком Сосновского с использованием данных дистанционного зондирования Земли.","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Вятский государственный университет»"
Шешнев Александр Сергеевич,МК-5758.2018.5,Сезонная динамика геоэкологического состояния водного стока овражно-балочной сети на урбанизированных территориях,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского"""
Александрова Эльмира Камильевна,МК-1721.2018.6,Русские символисты и массовая периодическая печать 1890-х — 1910-х гг. ,Федеральное государственное бюджетное учреждение науки Институт русской литературы (Пушкинский Дом) Российской академии наук
Андерс-Намжилова Кристина Юрьевна <i>(Андерс)</i>,МК-3279.2018.6,Московская духовная цензура и новая духовная литература рубежа XVIII-XIX веков,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"""
Антонова Ирина Сергеевна,МК-5598.2018.6,Динамическое моделирование пространственного развития моногородов c применением методов улучшения качества данных,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Багиян Александр Юрьевич,МК-6895.2018.6,"Концептуальное лингвопроектирование профессиональной идентичности в инновационной экономике: лингвокогнитивное, социо-лексикографическое и прагма-аксиологическое моделирование русскоязычного и западноевропейского научно-популярного дискурса","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пятигорский государственный университет"""
Баринов Дмитрий Андреевич,МК-5118.2018.6,Высшая школа Российской империи как центр формирования политических элит (1884-1917 гг.).,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Безвербный Вадим Александрович,МК-5872.2018.6,"Эмиграция высококвалифицированных специалистов из России: масштабы, тенденции, перспективы возвращения",Федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»
Белова Юлия Юрьевна,МК-6274.2018.6,Социальная реконструкция системы превенции алкоголизации населения в России: от модели борьбы к модели созидания,"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
Белоусов Михаил Сергеевич,МК-5578.2018.6,Движение декабристов: от историографии к исторической памяти,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"""
Бугров Константин Дмитриевич,МК-5914.2018.6,Роль церковной проповеди и панегирика в российской политической культуре XVIII в.,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Вершинин Александр Александрович,МК-6084.2018.6,Изучение советско-французских военных связей накануне Второй мировой войны (1932-1939 гг.),Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Вялых Никита Андреевич,МК-4089.2018.6,Социальная сущность и механизмы дифференциации потребления медицинской помощи в российском обществе,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Галанина Екатерина Владимировна,МК-1560.2018.6,"Видеоигры в контексте постнеклассической культуры: миф, реальное, виртуальное",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Гладкова Анна Александровна,МК-1102.2018.6,СМИ как фактор укрепления российской нации: проблемы и перспективы информационного обеспечения реализации государственной национальной политики Российской Федерации,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
